Title,URL
Run your GitHub Actions locally,https://github.com/nektos/act
Testcontainers ,https://youtu.be/sNg0bnMF_qY?si=nfZVvABhCbWPqJtu
authentik Docker Compose Installation,https://docs.goauthentik.io/docs/installation/docker-compose
10 Free Software You Probably Didn't Know Existed!,https://youtu.be/guIZLZVqEgQ?si=n-oUEEY-Q2hkImni
Actionforge is a VS Code Extension to Build GitHub Workflows Visually,https://www.infoq.com/news/2024/03/actionforge-github-action-gui/
"Meet Netron: A Visualizer for Neural Network, Deep Learning and Machine Learning Models ",https://www.marktechpost.com/2024/01/02/meet-netron-a-visualizer-for-neural-network-deep-learning-and-machine-learning-models/
Pandas AI,https://github.com/gventuri/pandas-ai
Meet PostgresML,https://www.marktechpost.com/2023/12/27/meet-postgresml-an-open-source-python-library-that-integrates-with-postgresql-and-has-the-ability-to-train-and-deploy-machine-learning-ml-models-directly-within-the-database-using-sql-queries/
AWS Well Architected,https://dev.to/aws-heroes/aws-well-architected-review-in-action-15a9
COMPASS RG-1/RG-2 Universal Roller Guides,https://www.harveywoodworking.com/products/universal-roller-guide
isotunes.com/collections/earmuffs,https://isotunes.com/collections/earmuffs
 Custom GPT That Extracts Data from Websites,ttps://youtu.be/pGHtjqvnSAQ?si=WJiyV2C6YGU-VrnS
Ridgid R4222 Miter Saw Dust Collection Chute,https://shopnationstore.com/products/ridgid-r4222-miter-saw-dust-collection-chute
"19.5x14"" Round Charcuterie Board With Handle Acrylic Router Template",https://craftedelements.com/products/19-5x14-round-charcuterie-board-with-handle-acrylic-router-template
Kreg(R) Pocket-Hole Jig 720PRO,https://www.kregtool.com/shop/pocket-hole-joinery/pocket-hole-jigs/kreg-pocket-hole-jig-720pro/KPHJ720PRO.html
Use cases with Langchain,https://medium.com/@ebruboyaci35/use-cases-with-langchain-e0fd5b0587f1
Code Understanding,https://python.langchain.com/docs/use_cases/code_understanding
What is ChatGPT Code Interpreter and how do you use it?,https://www.geeky-gadgets.com/chatgpt-code-interpreter/
Awesome List of the Best Developer Tools ,https://dev.to/surajondev/awesome-list-of-the-best-developer-tools-12fp
"Using ""any"" and ""all"" in Python",https://www.pythonmorsels.com/any-and-all/
What is a context manager,https://www.pythonmorsels.com/what-is-a-context-manager/
zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html
pytest-benchmark,https://pypi.org/project/pytest-benchmark/
